"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2","DATA_FOR"
"60017","2020-02-01 13:42:32","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151072","FKK1403105060000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151072"
"60017","2020-02-01 13:42:36","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151063","FKK1403105041000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151063"
"60017","2020-02-01 13:42:39","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151064","FKK1403105042000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151064"
"60017","2020-02-01 13:42:42","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151065","FKK1403105043000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151065"
"60017","2020-02-01 13:42:44","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151054","FKK1403105044000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151054"
"60017","2020-02-01 13:42:46","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151055","FKK1403105045000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151055"
"60017","2020-02-01 13:42:51","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151029","FKK1403105046000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151029"
"60017","2020-02-01 13:42:53","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151030","FKK1403105047000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151030"
"60017","2020-02-01 13:42:56","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151031","FKK1403105048000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151031"
"60017","2020-02-01 13:43:02","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151032","FKK1403105049000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151032"
"60017","2020-02-01 13:43:06","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151018","FKK1403105050000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151018"
