"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60016","2019-11-04 16:03:42","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151003","FKJO403033016000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:45","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151058","FKJO403033017000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:47","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151059","FKJO403033018000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:52","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151060","FKJO403033019000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:55","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151049","FKJO403033020000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:59","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151055","FKJO403033011000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:02","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151056","FKJO403033012000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:05","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151041","FKJO403033013000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:07","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151042","FKJO403033014000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:09","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151043","FKJO403033015000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:13","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151026","FKJO403033006000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:15","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151016","FKJO403033007000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:18","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151015","FKJO403033008000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:21","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151014","FKJO403033009000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:23","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151013","FKJO403033010000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:27","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151010","FKJO403033001000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:31","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151004","FKJO403033002000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:34","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151007","FKJO403033003000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:37","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151006","FKJO403033004000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:49","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151008","FKJO403033005000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:54","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151024","FKJO402888006000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:04:56","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151023","FKJO402888007000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
